User handle,Text
@SwethaDeb,"Get Axis Bank Flipkart Credit Card @ Rs 500 + Rs 500 worth Flipkart Gift Card Free via BankKaro!
Apply Now!
https://t.co/Mtkpa53sTk
#AxisBank @AxisBank #Flipkart @Flipkart #creditcard #Trending https://t.co/vrnb4RBELx"
@Lord_Vadapav,"@Flipkart @flipkartsupport there are major bugs in your EMI payment. It shows something on the home page &amp; yet charges intrest even on no cost emi options. Please look at it.
#Flipkart https://t.co/foxq0YOPrs"
@DrBishram,"@samaggarwal_  @_Kalyan_K  you have been talking high about your India plans but #Flipkart ground reality is pathetic. Your people cancelled order without my consent . The price is doubled. I need delivery. #flipkartsupport
is useless. Order
 I'd OD125169930352955000 https://t.co/j56C1ArkBc"
@DrBishram,@samaggarwal_  @_Kalyan_K  you have been talking high about your India plans but #Flipkart ground reality is pathetic. Your people cancelled order without my consent . The price is doubled. I need delivery. #flipkartsupport has a set of parrots. No problem solving
@LouJo_ve,"I Will design professional amazon product listing images that sell https://t.co/ABiEXfv5D6
 
#amazon #amazonprime #amazondeals  #amazonfinds #ebay #amazonfashion #youtube #flipkart #bookstagram #onlineshopping #fashion #amazonseller #amazonfreebies #amazonreviewer #ebook #shopify"
@Secretttt24,"What a waste of time @flipkart ..all the products are cancelled by supplier today ? 
@flipkartsupport
#Flipkart https://t.co/1q9b2jYRLi"
@LouJo_ve,"I Will find manufacturers or suppliers to your products on china https://t.co/MdpwP5kvOm

#amazon #amazonprime #amazondeals  #amazonfinds #ebay #amazonfashion #youtube #flipkart #bookstagram #onlineshopping #fashion #amazonseller #amazonfreebies #amazonreviewer #ebook #shopify"
@hrikhilS,"#Flipkart is a sinking ship. They’re failing to match their customer conveniences. Their app is itself a #bug. It is so buggy, that I was supposed to get avail an offer of flat 10% off on any purchase above ?5000/- on my #SBI credit card, #SBICard. But, due to system.. (1/n)"
@gulshan0966,@flipkartsupport @Flipkart  you people blocked in direct message also along with Flipkart account. You delivered wrong size and then blocked me while raising return. I am feeling cheated by #Flipkart https://t.co/m6sKsQ6Wct
@AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9GXaz #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa #onlineshopping #twitter #ebay #bookstagram #fashion #youtube #flipkart #spotify #itunes #amazonfashion #amazonseller #AmazonPrimeMembership https://t.co/jWfPhsWNri
@Luckyaj12,Flipkart has #announced that interested buyers need to get pre-order passes to be able to order the Nothing Phone (1) in the coming week. #nothingsmartphone #nothing #flipkart #discount #smartphone @ Hathras https://t.co/C0w6rPcKjc
@alisptech,we have start Flipkart Advertising Service for seller #Flipkart #advertising
@Unicapindia,"Online #retail spending in India is predicted to grow nearly sixfold to $300 billion by 2030 with an increase in the number of digitally-influenced shoppers and online shoppers.
#Amazon #Flipkart #BigBasket #Zomato 
#stockstowatch #nifty50 #investing #StockMarketindia #sensex https://t.co/Zpfz8RvzhC"
@debjani58006127,"My order id- OD125286210686562000).I am facing such a worst experience from Flipkart . With above mentioned order I'd i have raised complaint for 5 times but issue is not yet resolved . Payment is already made but not rcvd the product .#flipkartsupport
#Flipkart #grievence"
@mohitnitsri,Flipkart very very poor service no response from the team calls gets disconnected. #Flipkart never expected this from you
@Mysterydealz,"#Flipkart Loot : 

Get #Free Fabindia Bonus Points Worth 500 &amp; Gold Tier.

Link - https://t.co/XdkKf80JkS

Like and retweet ??"
@theshuklajee,"@Flipkart @flipkartsupport Please help me as it has been a month without charger. 

@jagograhakjago 

#Flipkart  #flipkartsupport #flipkartissleeping https://t.co/n8jTXbpRYK"
@DiscoutDelight,"#Flipkart
Ambrane FitShot Zest Smartwatch   at ?1999
https://t.co/hDTC2aGcYS"
@rangasathish1,"@Flipkart 
#Flipkart 
Don't purchase in flipkart.worst service i have ordered one sofa set order idOD125127609507146000
On June 5th till now they have not delivered my item nor refund given.simply they are telling sorry for delay next pickup date mentioned
Dont buy in Flipkart"
@sushal_ambre,"I was purchased dog food from Flipkart. The product was not delivered to me or my family members but the status on my application it is delivered. Don't know where is the product and who is collected it.

#Flipkart 
#flipkartsupport 
#ConsumerRights"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Himalaya Body Lotion, 400ml @139

??https://t.co/M0LcfOf8q0"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??43% Off : L'Oreal Paris Casting Creme Gloss Hair Color, Mahogany 550, 87.5g+72ml @313.

??https://t.co/rlihLL83H4"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
Looooot 269… https://t.co/e3AvLv85cM"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??[ Back ] Wo… https://t.co/Spm0oFmP1d"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??[New Stock]… https://t.co/3XRWIVQs9m"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??WOW Skin Sc… https://t.co/X3tBP6b4tm"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
Mothersparsh… https://t.co/2tMT6ANsQt"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Big loot fr… https://t.co/fj8xOHq2ze"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Back 50% Of… https://t.co/kASQ16c1mj"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Laptop  LOO… https://t.co/GbADYQiXUC"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??MI Smart LE… https://t.co/55byqCSqXx"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
TheManCompan… https://t.co/nrUhWLr4Pu"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
The AJIOMANI… https://t.co/i2SrpjDqKc"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Mamaearth L… https://t.co/wySoBrMhwN"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??HP v236w 64… https://t.co/jJIJObbaSu"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Unibic Snac… https://t.co/LcDwVZq3Tw"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Wrogn large… https://t.co/a2nWbcfke7"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Back : Baja… https://t.co/s6DwW7U4NX"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
??Sony Bravia… https://t.co/vEEiWBiMme"
@ShoppingDeal4U,"#Amazon #DealsOfTheDay #Flipkart #Shopping #Fashion #Beauty #Sale #Deals #Loot #Offers
@ShoppingDeal4U
GRAB 1589

A… https://t.co/LeO9vxpdvZ"
@Sahid_May_09,"Hi #Flipkart #flipkartsupport 
Here I purchased 2 items. And successfully placed an order and got notification that… https://t.co/Yg3e6DMdq5"
@saitejagundas,One worst delivery system in e-commerce is Flipkart especially in mobile phones it is rescheduling the orders. Face… https://t.co/qlryuidZQS
@v_vishaliyer,"#Flipkart #flipkartsupport 
Ordered Product on 29th June 2022, I got the delivery date 8th July 2022 (This is in ba… https://t.co/MHTYBnKxey"
@techscooper_06,"We expertise in providing a complete solution for Ecommerce Marketplace and online selling.

Call Us: +919475511119… https://t.co/7VVYFwds8V"
@AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9GXaz #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/vt7IiVEAKU
@BestOnlineOfers,"VDIX Beautiful Vintage Round Wooden Folding Coffee Table

Price - ?370

Buy Now - https://t.co/GBsN5zIFAT

??Follow… https://t.co/Lg3Of2j7dl"
@ImpexGiant,"Ask for Women's Multipocket 13 Compartments Travel Accessories 
#OrganizerHandbag, #WomenHandbag #Purse,… https://t.co/wnOs7GK8pv"
@on9deals,"#GrabFast
Redmibook Pro Core I5 11th Gen 8gb Ram 512gbssd 15.6 Inc Laptop With Ms Office Worth Rs.59,990 @ Rs.36,99… https://t.co/6PmCchK9F1"
@BYPLAY19,Why am i doing..i don't know...????does it happen with you?.. By-Play.. #Sales #weekend #offers #Flipkart #tshirt… https://t.co/QamdCrdyfq
@BestOnlineOfers,"Amitasha Plastic Archery Bow and Arrow Toy Set with Target Board

Price - ?299

Buy Now - https://t.co/jGAHFxiPae… https://t.co/RfR31Mk4zT"
@VishalBohara9,"Bad experience with @flipkartsupport 
I ordered a speaker for my grandmother but due to a technical issue she is no… https://t.co/sxqyVrKeQt"
@RealKumaraadi,@flipkartsupport  @jagograhakjago @_Kalyan_K I can't believe!Flipkart is asking me for government I'd just to retur… https://t.co/Z8rfzU9UVI
@RealKumaraadi,@flipkartsupport  @jagograhakjago @_Kalyan_K I can't believe !Flipkart is asking me for government I'd just to retu… https://t.co/Vfd53GjWeF
@gwpauthors,Book Anokha Vivekananda is Available Now. Order it from #Amazon &amp; #Flipkart https://t.co/D545rnUpbi
@CwenCollection,"https://t.co/aqTOjbY5M4
Canvas Cap
#cwencollection #india #mumbai #modestfashion #indianhijabi #fashioninspiration… https://t.co/5seqXRHxwa"
@surajpulikotil,I got a different style and want to return this. Can you help to sort this  without testing my patience anymore? Ca… https://t.co/eiA63JmooO
@surajpulikotil,Hey @Flipkart @flipkartsupport #flipkart  #flipkartsupport I am waiting for this return order to be processed since… https://t.co/nR5tfwMB3f
@gwpauthors,Book Kaabya Manjari is Available Now. Order it from #Amazon &amp; #Flipkart https://t.co/NLl3UzVFMi
@Maju10Rituparna,"#flipkart @flipkartsupport @jagograhakjago 
#flipkart not refund my money on time, escalating the time from one mon… https://t.co/O3igwEwmkj"
@Maju10Rituparna,"Fraud #flipkart
order 1 item on Jun10 payment was done.
Flipkart failed to delivery and cancelled it.
NOW NOT REFUN… https://t.co/MwN8xwKVJs"
