,User_ID,Product_ID,Gender,Age,City_Category,Marital_Status,Product_Category
59,1000117,P00147742,M,26-35,A,1,1
60,1000117,P00223542,M,26-35,A,1,1
61,1000117,P00185442,M,26-35,A,1,15
62,1000120,P00110542,M,26-35,C,0,8
63,1000123,P00014042,M,36-45,B,1,1
64,1000123,P00177442,M,36-45,B,1,1
65,1000123,P00295342,M,36-45,B,1,2
66,1000123,P00266542,M,36-45,B,1,2
67,1000129,P00089242,M,26-35,C,0,2
68,1000130,P00312742,M,36-45,B,1,15
69,1000130,P00286742,M,36-45,B,1,1
70,1000131,P00210942,M,18-25,C,0,5
71,1000132,P00192842,M,26-35,C,0,5
72,1000134,P00138542,M,26-35,C,1,5
73,1000134,P00047242,M,26-35,C,1,1
74,1000136,P00148642,M,18-25,B,0,6
75,1000139,P00150542,F,26-35,C,0,5
76,1000139,P00201442,F,26-35,C,0,1
77,1000146,P00124342,F,36-45,B,1,11
78,1000147,P00165642,M,18-25,B,0,1
79,1000147,P00305142,M,18-25,B,0,1
80,1000148,P00359242,M,51-55,B,1,1
81,1000148,P00084842,M,51-55,B,1,8
82,1000150,P00336942,M,36-45,B,1,5
83,1000151,P00144242,F,26-35,A,1,5
84,1000151,P00015142,F,26-35,A,1,5
85,1000157,P00223542,M,36-45,A,0,1
86,1000157,P00115442,M,36-45,A,0,8
87,1000157,P00129842,M,36-45,A,0,6
88,1000157,P00287342,M,36-45,A,0,5
89,1000157,P00115942,M,36-45,A,0,8
90,1000158,P00086342,M,55+,C,1,8
91,1000161,P00014942,M,46-50,C,1,8
92,1000161,P00101542,M,46-50,C,1,13
93,1000161,P00184942,M,46-50,C,1,1
94,1000163,P00211142,M,18-25,A,0,5
95,1000163,P00198642,M,18-25,A,0,8
96,1000163,P00303442,M,18-25,A,0,1
97,1000165,P00346142,M,18-25,A,0,1
98,1000166,P00086442,M,18-25,B,1,8
99,1000166,P00133442,M,18-25,B,1,1
100,1000169,P00175842,M,26-35,B,0,5
101,1000169,P00277842,M,26-35,B,0,1
102,1000169,P00198742,M,26-35,B,0,1
103,1000169,P00367042,M,26-35,B,0,8
104,1000173,P00100042,M,26-35,B,1,6
105,1000173,P00348942,M,26-35,B,1,8
106,1000173,P00309242,M,26-35,B,1,5
107,1000173,P00029842,M,26-35,B,1,8
108,1000175,P00324942,F,26-35,B,0,5
109,1000175,P00084142,F,26-35,B,0,5
110,1000175,P00331242,F,26-35,B,0,12
111,1000175,P00182442,F,26-35,B,0,5
112,1000181,P00222842,M,18-25,C,0,8
113,1000187,P00001742,F,46-50,B,0,8
114,1000187,P00137442,F,46-50,B,0,8
115,1000187,P00029342,F,46-50,B,0,8
116,1000191,P00234542,M,18-25,C,1,5
117,1000192,P00005042,M,18-25,B,0,6
118,1000192,P00157142,M,18-25,B,0,11
119,1000193,P00310842,F,46-50,C,1,6
120,1000195,P00154742,M,26-35,B,1,8
121,1000195,P00231942,M,26-35,B,1,11
122,1000195,P00280842,M,26-35,B,1,1
123,1000195,P00070042,M,26-35,B,1,1
124,1000198,P00084142,M,26-35,A,1,5
125,1000198,P00258842,M,26-35,A,1,5
126,1000202,P00190142,M,18-25,A,0,3
127,1000202,P00113042,M,18-25,A,0,11
128,1000202,P00105242,M,18-25,A,0,11
129,1000202,P00214642,M,18-25,A,0,11
130,1000204,P00346042,M,26-35,B,1,6
131,1000205,P00313542,M,36-45,A,0,5
132,1000205,P00112742,M,36-45,A,0,2
133,1000212,P00288942,M,26-35,C,0,1
134,1000214,P00198042,M,18-25,C,0,11
135,1000215,P00034742,M,36-45,C,1,5
136,1000216,P00189842,M,46-50,B,0,3
137,1000216,P00253142,M,46-50,B,0,1
138,1000216,P00175942,M,46-50,B,0,8
139,1000216,P00275742,M,46-50,B,0,8
140,1000216,P00174242,M,46-50,B,0,15
141,1000216,P00054342,M,46-50,B,0,7
142,1000225,P00212742,M,26-35,A,0,5
143,1000225,P00145942,M,26-35,A,0,6
144,1000227,P00229742,M,36-45,B,0,1
145,1000229,P0099242,M,18-25,C,0,8
146,1000229,P00173042,M,18-25,C,0,13
147,1000233,P00184942,F,46-50,C,1,1
148,1000235,P00117642,M,26-35,B,0,10
149,1000238,P00088442,F,51-55,B,0,8
150,1000245,P00145042,M,36-45,B,0,1
151,1000245,P00221742,M,36-45,B,0,1
152,1000245,P00044442,M,36-45,B,0,1
153,1000245,P00123342,M,36-45,B,0,11
154,1000248,P00015542,M,18-25,B,1,1
155,1000249,P00274042,F,18-25,C,0,1
156,1000249,P00250642,F,18-25,C,0,11
157,1000249,P00102242,F,18-25,C,0,8
158,1000257,P00002442,M,18-25,A,0,8
159,1000257,P00139942,M,18-25,A,0,5
160,1000262,P00074642,F,26-35,C,0,5
161,1000264,P00111942,M,36-45,B,1,8
162,1000264,P00193542,M,36-45,B,1,1
163,1000268,P00127842,F,18-25,C,0,1
164,1000271,P00183242,M,18-25,C,0,5
165,1000272,P00042142,M,18-25,A,0,1
166,1000272,P00244042,M,18-25,A,0,1
167,1000278,P00348642,M,46-50,C,1,5
168,1000283,P00016042,M,26-35,B,0,1
169,1000284,P00182542,M,26-35,B,1,5
170,1000289,P00110742,F,26-35,C,0,1
171,1000293,P00062842,M,55+,C,1,1
172,1000300,P00297942,M,26-35,B,1,8
173,1000301,P00024042,M,18-25,B,0,7
174,1000302,P00048142,M,18-25,B,0,1
175,1000302,P00102042,M,18-25,B,0,5
176,1000302,P00220342,M,18-25,B,0,5
177,1000307,P00114542,M,51-55,B,1,5
178,1000308,P00010842,M,26-35,A,1,8
179,1000308,P0094542,M,26-35,A,1,2
180,1000308,P00153842,M,26-35,A,1,8
181,1000309,P00303242,M,26-35,B,0,5
182,1000309,P00201442,M,26-35,B,0,1
183,1000311,P00120042,M,18-25,C,1,1
184,1000312,P00118542,F,51-55,B,0,5
185,1000312,P00145242,F,51-55,B,0,2
186,1000313,P00112142,F,18-25,A,0,1
187,1000314,P00050242,F,55+,C,0,8
188,1000314,P00295942,F,55+,C,0,2
189,1000319,P00324442,F,51-55,B,1,11
190,1000319,P00155042,F,51-55,B,1,6
191,1000319,P00085242,F,51-55,B,1,8
192,1000320,P00115942,M,36-45,C,0,8
193,1000321,P00265242,M,18-25,B,0,5
194,1000321,P00163442,M,18-25,B,0,6
195,1000324,P00273442,M,36-45,B,1,12
196,1000326,P00331042,M,51-55,B,1,5
197,1000326,P00151742,M,51-55,B,1,8
198,1000327,P00118142,M,36-45,C,0,8
199,1000328,P00046742,M,36-45,C,0,1
200,1000329,P00125642,M,36-45,A,0,5
201,1000329,P00270842,M,36-45,A,0,5
202,1000329,P00171342,M,36-45,A,0,13
203,1000331,P00184842,M,26-35,B,0,5
204,1000333,P00128242,M,36-45,A,1,5
205,1000335,P00146142,M,36-45,C,1,1
206,1000337,P00191442,M,18-25,C,0,1
207,1000340,P00331942,F,26-35,C,1,5
208,1000342,P00117942,M,18-25,C,0,5
209,1000343,P00218642,F,36-45,B,0,5
210,1000344,P00240042,M,36-45,C,1,5
211,1000346,P00184942,F,26-35,B,0,1
212,1000346,P00059442,F,26-35,B,0,6
213,1000348,P00281742,M,51-55,B,1,5
214,1000349,P00347642,M,0-17,C,0,1
215,1000349,P00015542,M,0-17,C,0,1
216,1000350,P00058042,M,46-50,C,0,8
217,1000352,P00109742,M,18-25,A,0,8
218,1000352,P00324442,M,18-25,A,0,11
219,1000352,P00067842,M,18-25,A,0,6
220,1000355,P00293242,M,18-25,B,0,8
221,1000355,P00194642,M,18-25,B,0,1
222,1000356,P00194242,M,55+,C,1,11
223,1000361,P00184442,F,26-35,B,0,1
224,1000364,P00021742,F,36-45,C,0,5
225,1000365,P00182742,F,18-25,A,0,1
226,1000368,P00279542,M,26-35,C,0,8
227,1000368,P00039242,M,26-35,C,0,1
228,1000377,P00353142,M,26-35,B,0,5
229,1000380,P00307542,M,26-35,C,0,1
230,1000380,P00324942,M,26-35,C,0,5
231,1000381,P00002942,M,36-45,C,0,2
232,1000385,P0097142,M,26-35,C,0,12
233,1000386,P00134642,M,26-35,A,1,5
234,1000386,P00295842,M,26-35,A,1,5
235,1000388,P00199442,F,26-35,B,1,5
236,1000389,P00237542,M,26-35,C,0,1
237,1000390,P00341942,M,26-35,A,0,11
238,1000392,P00366542,M,18-25,A,0,5
239,1000392,P00051442,M,18-25,A,0,8
240,1000393,P00084442,M,36-45,C,0,13
241,1000398,P00113242,M,26-35,B,1,1
242,1000398,P00136742,M,26-35,B,1,1
243,1000402,P00344442,M,26-35,B,1,5
244,1000407,P00024942,M,18-25,C,0,5
245,1000411,P00319142,F,46-50,B,1,5
246,1000411,P00295942,F,46-50,B,1,2
247,1000411,P00074342,F,46-50,B,1,5
248,1000412,P00302942,M,36-45,A,1,8
249,1000415,P00049642,F,36-45,A,1,8
250,1000415,P00344242,F,36-45,A,1,8
251,1000419,P00241642,M,18-25,C,0,1
252,1000422,P00204342,M,55+,A,0,15
253,1000422,P00235942,M,55+,A,0,11
254,1000424,P00162442,M,26-35,A,0,1
255,1000424,P00204342,M,26-35,A,0,15
256,1000424,P00349142,M,26-35,A,0,11
257,1000425,P00321742,M,26-35,B,1,5
258,1000425,P00183242,M,26-35,B,1,5
259,1000425,P00014042,M,26-35,B,1,1
260,1000432,P00078742,M,46-50,C,1,5
261,1000437,P00343042,M,36-45,C,1,5
262,1000438,P00183242,M,18-25,A,0,5
263,1000438,P00325742,M,18-25,A,0,2
264,1000438,P00152942,M,18-25,A,0,5
265,1000438,P0095342,M,18-25,A,0,2
266,1000438,P00238642,M,18-25,A,0,1
267,1000442,P00260042,M,26-35,A,0,5
268,1000442,P00120642,M,26-35,A,0,5
269,1000444,P00216742,M,55+,A,0,5
270,1000451,P00116842,M,55+,C,1,2
271,1000453,P00130442,M,18-25,B,0,3
272,1000453,P00177842,M,18-25,B,0,8
273,1000453,P00347742,M,18-25,B,0,7
274,1000454,P00337842,M,26-35,C,1,5
275,1000454,P00183342,M,26-35,C,1,5
276,1000457,P00242742,M,18-25,B,0,1
277,1000461,P00285742,M,51-55,B,0,8
278,1000461,P00065342,M,51-55,B,0,2
279,1000462,P00127242,M,18-25,C,1,1
280,1000478,P00156442,M,51-55,A,0,8
281,1000480,P00163442,F,18-25,C,0,6
282,1000482,P00196542,M,26-35,A,1,5
283,1000482,P00193742,M,26-35,A,1,8
284,1000482,P00302142,M,26-35,A,1,5
285,1000498,P00052842,M,36-45,A,0,10
286,1000499,P00101942,F,26-35,A,0,8
287,1000508,P00103042,M,26-35,B,0,1
288,1000509,P00130842,M,26-35,A,1,5
289,1000509,P00046742,M,26-35,A,1,1
290,1000509,P00009342,M,26-35,A,1,1
291,1000509,P00000642,M,26-35,A,1,1
292,1000513,P00085242,M,26-35,C,0,8
293,1000515,P00085242,M,26-35,A,1,8
294,1000518,P00067942,F,36-45,C,0,5
295,1000518,P00004742,F,36-45,C,0,6
296,1000520,P00140042,F,36-45,A,0,1
297,1000520,P00130742,F,36-45,A,0,1
298,1000520,P00123742,F,36-45,A,0,11
299,1000520,P00198042,F,36-45,A,0,11
300,1000524,P00136142,M,18-25,A,0,6
301,1000524,P00191442,M,18-25,A,0,1
302,1000524,P00101542,M,18-25,A,0,13
303,1000524,P00040242,M,18-25,A,0,5
304,1000529,P00270542,M,36-45,C,0,1
305,1000529,P00126142,M,36-45,C,0,8
306,1000530,P00346142,M,26-35,A,1,1
307,1000533,P00145042,M,26-35,A,0,1
308,1000536,P00233442,M,26-35,C,0,1
309,1000540,P00214642,M,18-25,B,0,11
310,1000541,P00004842,F,18-25,C,0,3
311,1000543,P00129342,M,26-35,B,1,1
312,1000546,P00216342,F,26-35,B,0,3
313,1000549,P00206742,M,26-35,A,0,11
314,1000550,P00110742,M,46-50,B,1,1
315,1000550,P00000242,M,46-50,B,1,2
316,1000550,P00182142,M,46-50,B,1,1
317,1000550,P00221842,M,46-50,B,1,1
318,1000553,P00033642,M,26-35,B,0,5
319,1000554,P00370242,M,26-35,C,1,5
320,1000556,P00106042,F,26-35,B,0,5
321,1000556,P00192542,F,26-35,B,0,1
322,1000559,P00314142,F,26-35,C,0,8
323,1000561,P00324942,F,18-25,C,1,5
324,1000566,P00319342,M,26-35,A,0,5
325,1000566,P00017542,M,26-35,A,0,5
326,1000566,P00192042,M,26-35,A,0,5
327,1000566,P00151742,M,26-35,A,0,8
328,1000566,P00212042,M,26-35,A,0,13
329,1000566,P00338542,M,26-35,A,0,1
330,1000568,P00046742,F,51-55,C,1,1
331,1000577,P00304442,M,36-45,A,0,1
332,1000585,P00112142,M,18-25,A,0,1
333,1000587,P00015142,M,26-35,B,0,5
334,1000588,P00343042,F,26-35,B,0,5
335,1000588,P00233542,F,26-35,B,0,1
336,1000588,P00319542,F,26-35,B,0,8
337,1000590,P00131242,F,36-45,C,0,8
338,1000591,P00265242,M,26-35,C,0,5
339,1000601,P00182642,F,18-25,B,1,2
340,1000601,P00250842,F,18-25,B,1,8
341,1000602,P00032342,F,55+,C,0,11
342,1000604,P00328142,M,46-50,C,1,8
343,1000604,P00276642,M,46-50,C,1,8
344,1000608,P00063342,M,18-25,C,1,1
345,1000608,P00074442,M,18-25,C,1,1
346,1000611,P00059442,M,36-45,C,0,6
347,1000620,P00135742,M,18-25,A,0,6
348,1000624,P00074642,M,26-35,B,0,5
349,1000624,P00184142,M,26-35,B,0,8
350,1000624,P0096142,M,26-35,B,0,3
351,1000630,P00205442,F,36-45,C,0,5
352,1000631,P00321742,M,36-45,C,1,5
353,1000634,P00000142,F,0-17,C,0,3
354,1000637,P00052842,M,36-45,B,1,10
355,1000638,P00113942,M,26-35,C,1,8
356,1000638,P00324742,M,26-35,C,1,2
357,1000639,P00183642,M,46-50,B,1,4
358,1000641,P00118442,F,36-45,A,1,1
359,1000643,P00346442,M,26-35,C,1,1
360,1000643,P00355142,M,26-35,C,1,1
361,1000646,P00277442,M,36-45,C,0,1
362,1000647,P00262242,M,36-45,B,1,1
363,1000647,P00259442,M,36-45,B,1,5
364,1000648,P00355642,F,26-35,B,1,16
365,1000648,P00242742,F,26-35,B,1,1
366,1000649,P00283942,M,26-35,B,1,5
367,1000651,P00110942,M,36-45,B,0,1
368,1000651,P00057642,M,36-45,B,0,1
369,1000651,P00120742,M,36-45,B,0,8
370,1000652,P00112642,M,18-25,C,0,1
371,1000655,P00339042,F,26-35,B,0,5
372,1000656,P00085242,F,46-50,C,1,8
373,1000669,P00142142,M,26-35,B,0,1
374,1000673,P00014642,M,26-35,A,0,8
375,1000678,P00317842,M,26-35,A,1,8
376,1000678,P00352142,M,26-35,A,1,1
377,1000678,P00266242,M,26-35,A,1,11
378,1000678,P00243942,M,26-35,A,1,1
379,1000680,P00031142,M,26-35,C,0,16
380,1000687,P00173942,F,26-35,C,0,1
381,1000687,P00147742,F,26-35,C,0,1
382,1000687,P00165442,F,26-35,C,0,1
383,1000692,P00227742,F,26-35,A,1,5
384,1000692,P00248542,F,26-35,A,1,8
385,1000692,P00197442,F,26-35,A,1,8
386,1000692,P00182442,F,26-35,A,1,5
387,1000697,P00120942,F,51-55,A,1,8
388,1000697,P00174442,F,51-55,A,1,5
389,1000700,P00124742,M,51-55,C,1,10
390,1000702,P00278642,M,36-45,B,1,5
391,1000702,P00331042,M,36-45,B,1,5
392,1000702,P00331342,M,36-45,B,1,8
393,1000702,P00085942,M,36-45,B,1,2
394,1000702,P00130742,M,36-45,B,1,1
395,1000705,P00266142,M,26-35,C,1,5
396,1000705,P00226842,M,26-35,C,1,11
397,1000706,P00022442,M,36-45,B,0,8
398,1000710,P00173042,M,26-35,A,0,13
399,1000710,P00150842,M,26-35,A,0,11
400,1000710,P00143642,M,26-35,A,0,1
401,1000710,P00204342,M,26-35,A,0,15
402,1000710,P00118442,M,26-35,A,0,1
403,1000710,P00037342,M,26-35,A,0,8
404,1000710,P00111342,M,26-35,A,0,5
405,1000712,P00189842,M,26-35,B,0,3
406,1000714,P00112142,M,18-25,B,0,1
407,1000718,P00216142,M,18-25,C,0,1
408,1000720,P00074642,M,18-25,B,0,5
409,1000720,P00230942,M,18-25,B,0,5
410,1000721,P00131342,F,36-45,B,0,5
411,1000722,P00344742,M,26-35,B,0,5
412,1000724,P00365242,M,51-55,B,1,5
413,1000724,P00046142,M,51-55,B,1,1
414,1000727,P00161442,M,36-45,B,1,5
415,1000728,P00041242,M,26-35,C,0,8
416,1000728,P00165942,M,26-35,C,0,8
417,1000732,P00296242,M,26-35,B,0,8
418,1000733,P00190342,M,36-45,C,1,4
419,1000733,P00284642,M,36-45,C,1,5
420,1000735,P00283942,M,26-35,A,0,5
421,1000735,P00169742,M,26-35,A,0,1
422,1000744,P00244142,M,26-35,B,0,1
423,1000744,P00178942,M,26-35,B,0,5
424,1000744,P00313342,M,26-35,B,0,5
425,1000749,P00113142,M,36-45,B,0,1
426,1000749,P00028042,M,36-45,B,0,1
427,1000750,P00028842,F,36-45,B,1,6
428,1000752,P00280442,F,26-35,A,0,11
429,1000752,P00258842,F,26-35,A,0,5
430,1000752,P00316142,F,26-35,A,0,5
431,1000752,P00036542,F,26-35,A,0,4
432,1000753,P00355142,M,0-17,C,0,1
433,1000753,P00337842,M,0-17,C,0,5
434,1000753,P00251942,M,0-17,C,0,1
435,1000754,P00255842,M,36-45,C,0,16
436,1000756,P00113242,M,36-45,C,0,1
437,1000757,P00114942,M,26-35,A,0,1
438,1000757,P00198142,M,26-35,A,0,2
439,1000757,P00213742,M,26-35,A,0,8
440,1000757,P0093942,M,26-35,A,0,8
441,1000759,P00058442,F,55+,C,0,5
442,1000765,P00113442,M,26-35,B,0,3
443,1000765,P00057542,M,26-35,B,0,3
444,1000765,P00251942,M,26-35,B,0,1
445,1000765,P00159442,M,26-35,B,0,5
446,1000767,P00261542,M,26-35,C,0,16
447,1000770,P00025442,M,18-25,B,1,1
448,1000770,P00003442,M,18-25,B,1,4
449,1000770,P00228642,M,18-25,B,1,5
450,1000772,P00237542,M,18-25,C,0,1
451,1000774,P00046142,M,18-25,A,0,1
452,1000774,P00037142,M,18-25,A,0,1
453,1000777,P00223942,M,18-25,B,0,5
454,1000780,P00035542,M,26-35,B,0,3
455,1000783,P00318742,M,26-35,A,0,1
456,1000783,P00006942,M,26-35,A,0,1
457,1000791,P00190542,M,36-45,B,0,3
458,1000796,P00319042,M,51-55,B,1,5
459,1000804,P00294542,M,26-35,C,0,8
460,1000813,P00058042,M,18-25,C,1,8
461,1000818,P00250842,M,18-25,C,0,8
462,1000818,P00338442,M,18-25,C,0,1
463,1000819,P00070042,M,36-45,A,0,1
464,1000821,P00242742,M,18-25,C,0,1
465,1000822,P00129542,F,26-35,B,1,8
466,1000822,P00240142,F,26-35,B,1,5
467,1000822,P00265542,F,26-35,B,1,5
468,1000823,P00100842,M,26-35,C,0,5
469,1000824,P00114442,M,36-45,A,1,5
470,1000829,P00118542,M,0-17,A,0,5
471,1000830,P00193742,M,36-45,A,0,8
472,1000832,P00324942,M,18-25,C,0,5
473,1000839,P00262242,M,26-35,A,0,1
474,1000839,P00207342,M,26-35,A,0,5
475,1000839,P00217542,M,26-35,A,0,1
476,1000845,P00318742,F,18-25,A,0,1
477,1000850,P00309542,M,36-45,A,1,5
478,1000854,P00173842,F,26-35,B,0,1
479,1000855,P00174342,F,18-25,A,1,8
480,1000855,P00265242,F,18-25,A,1,5
481,1000857,P00089542,M,36-45,C,1,5
482,1000858,P00270942,M,36-45,B,0,1
483,1000859,P00197942,M,26-35,B,1,6
484,1000863,P00248942,M,26-35,C,0,1
485,1000869,P00242142,M,18-25,A,1,5
486,1000869,P00209742,M,18-25,A,1,1
487,1000872,P00112942,M,51-55,B,1,1
488,1000875,P00354342,M,0-17,C,0,5
489,1000877,P00143342,M,26-35,B,1,1
490,1000877,P00258742,M,26-35,B,1,5
491,1000881,P00150242,M,18-25,A,0,1
492,1000883,P00148642,F,36-45,C,0,6
493,1000889,P00319042,M,46-50,A,0,5
494,1000889,P00086142,M,46-50,A,0,5
495,1000889,P00107442,M,46-50,A,0,5
496,1000889,P00086742,M,46-50,A,0,5
497,1000889,P00136942,M,46-50,A,0,5
498,1000889,P00023442,M,46-50,A,0,16
499,1000889,P00271342,M,46-50,A,0,8
500,1000889,P00150142,M,46-50,A,0,8
501,1000890,P00010242,M,18-25,C,0,5
502,1000891,P00109542,M,26-35,C,0,8
503,1000897,P00024742,M,26-35,B,0,8
504,1000897,P00223242,M,26-35,B,0,5
505,1000897,P00349942,M,26-35,B,0,1
506,1000897,P00113242,M,26-35,B,0,1
507,1000904,P00241242,M,36-45,B,0,1
508,1000904,P00222742,M,36-45,B,0,8
509,1000911,P00115142,M,51-55,B,1,1
510,1000911,P00116242,M,51-55,B,1,8
511,1000911,P00052642,M,51-55,B,1,5
512,1000914,P00193242,F,36-45,C,0,6
513,1000918,P00135242,F,46-50,C,0,4
514,1000919,P00226342,F,36-45,C,0,11
515,1000919,P00070442,F,36-45,C,0,1
516,1000922,P00101142,M,55+,B,1,8
517,1000924,P00166742,M,51-55,C,1,5
518,1000926,P00053842,M,0-17,C,0,4
519,1000927,P00289342,F,26-35,C,1,5
520,1000928,P00090342,F,55+,C,1,12
521,1000929,P00127642,M,26-35,A,0,1
522,1000929,P00181842,M,26-35,A,0,11
523,1000931,P00368342,F,55+,C,0,5
524,1000931,P00052842,F,55+,C,0,10
525,1000933,P00118642,M,46-50,C,1,1
526,1000934,P00230342,F,36-45,A,0,5
527,1000934,P0095742,F,36-45,A,0,4
528,1000934,P00304842,F,36-45,A,0,8
529,1000934,P00128742,F,36-45,A,0,1
530,1000934,P00104842,F,36-45,A,0,8
531,1000934,P00222342,F,36-45,A,0,8
532,1000940,P00250242,M,0-17,C,0,5
533,1000949,P00073842,M,51-55,B,1,1
534,1000949,P00334242,M,51-55,B,1,1
535,1000949,P00277642,M,51-55,B,1,2
536,1000954,P00120542,F,26-35,B,1,8
537,1000955,P00159542,F,51-55,B,1,10
538,1000955,P00019342,F,51-55,B,1,1
539,1000955,P00271142,F,51-55,B,1,5
540,1000959,P00171542,M,51-55,C,0,2
541,1000959,P00057542,M,51-55,C,0,3
542,1000961,P00260842,M,18-25,A,0,1
543,1000964,P00216742,M,26-35,B,1,5
544,1000966,P00184042,M,55+,C,0,1
545,1000970,P00115142,M,26-35,B,1,1
546,1000970,P00054242,M,26-35,B,1,1
547,1000971,P00221342,M,26-35,B,1,1
548,1000977,P00259342,M,26-35,C,0,5
549,1000977,P00028842,M,26-35,C,0,6
550,1000984,P00014642,M,51-55,A,1,8
551,1000984,P00182742,M,51-55,A,1,1
552,1000984,P00044142,M,51-55,A,1,8
553,1000984,P00165642,M,51-55,A,1,1
554,1000984,P00295242,M,51-55,A,1,8
555,1000984,P00338942,M,51-55,A,1,1
556,1000990,P00241642,M,18-25,C,0,1
557,1000993,P00366342,M,26-35,C,0,5
558,1000995,P00102342,F,18-25,C,0,8
559,1000996,P00057542,M,26-35,A,1,3
560,1000998,P00286842,M,46-50,A,1,5
561,1000999,P00070042,M,26-35,B,0,1
562,1000999,P00127242,M,26-35,B,0,1
563,1000999,P00104842,M,26-35,B,0,8
564,1000999,P00020242,M,26-35,B,0,8
565,1001004,P00129342,M,26-35,B,0,1
566,1001004,P00250242,M,26-35,B,0,5
567,1001010,P00054042,M,26-35,A,0,18
568,1001010,P00040042,M,26-35,A,0,5
569,1001010,P00156542,M,26-35,A,0,4
570,1001010,P00166942,M,26-35,A,0,2
571,1001010,P00345742,M,26-35,A,0,1
572,1001010,P00111442,M,26-35,A,0,8
573,1001013,P00199442,M,55+,C,0,5
574,1001015,P00036442,M,36-45,A,1,16
575,1001015,P00112642,M,36-45,A,1,1
576,1001015,P00028442,M,36-45,A,1,1
577,1001015,P00160642,M,36-45,A,1,1
578,1001015,P00346842,M,36-45,A,1,11
579,1001016,P00005742,M,55+,C,0,8
580,1001017,P00178942,M,36-45,B,0,5
581,1001017,P00244942,M,36-45,B,0,11
582,1001017,P00116742,M,36-45,B,0,11
583,1001018,P00178242,M,18-25,A,0,8
584,1001019,P00113542,M,36-45,A,1,8
585,1001019,P00297942,M,36-45,A,1,8
586,1001019,P00035542,M,36-45,A,1,3
587,1001019,P00212042,M,36-45,A,1,13
588,1001019,P00024842,M,36-45,A,1,8
589,1001019,P00268442,M,36-45,A,1,8
590,1001021,P00177142,M,36-45,C,0,8
591,1001027,P00057642,M,18-25,B,0,1
592,1001029,P00031042,M,26-35,B,0,8
593,1001032,P00277642,M,51-55,C,1,2
594,1001033,P00142142,M,26-35,B,0,1
595,1001041,P00188442,M,46-50,B,0,5
596,1001047,P00113342,M,18-25,B,0,1
597,1001050,P00102642,M,26-35,B,0,4
598,1001051,P00278642,F,26-35,A,1,5
599,1001051,P00230342,F,26-35,A,1,5
600,1001051,P00192542,F,26-35,A,1,1
601,1001051,P00050742,F,26-35,A,1,5
602,1001051,P00031042,F,26-35,A,1,8
603,1001051,P00288842,F,26-35,A,1,8
604,1001054,P00074442,M,0-17,C,0,1
605,1001057,P00184042,M,46-50,B,1,1
